"イベントID","イベント名","イベントシナリオID","シナリオの分岐","分岐パターン","バフのタイプ","体力バフ","筋力バフ","知力バフ","素早さバフ","スタミナバフ","獲得スキルID","獲得アイテムID"
"int","string","uint","false","Enum","Enum","int","int","int","int","int","uint","uint"
"1","テストイベント","1","false","None","EventBuff","10","10","10","10","10","0","0"
"2","模擬戦","1","true","StaminaValue","None","0","0","0","0","0","0","0"
"3","読書","2","true","StaminaValue","None","0","0","0","0","0","0","0"
"4","マラソン","3","true","StaminaValue","None","0","0","0","0","0","0","0"
"5","狩猟","4","true","StaminaValue","None","0","0","0","0","0","0","0"
"6","休憩","5","false","None","TrainingBuff","0","0","0","0","50","0","0"
"7","最初の挨拶【リナリア】","8","false","None","None","0","0","0","0","0","0","0"
"8","最初の挨拶【タンカー】","9","false","None","None","0","0","0","0","0","0","0"
"9","最初の挨拶【マジシャン】","10","false","None","None","0","0","0","0","0","0","0"
"10","最初の挨拶【狙撃手】","11","false","None","None","0","0","0","0","0","0","0"
"11","最初の挨拶【神官】","12","false","None","None","0","0","0","0","0","0","0"
